epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,6772.94,1.20108,1.07929,1.32534,0.81556,0.62853,0.72312,0.49447,1.23001,0.85526,1.13352,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977
33,6970.89,1.18784,1.05558,1.3144,0.82401,0.62467,0.72443,0.49581,1.22424,0.86184,1.13136,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
34,7168.93,1.18808,1.06491,1.31677,0.80096,0.6387,0.72591,0.49852,1.22108,0.85606,1.12767,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
35,7367.12,1.18082,1.06362,1.31281,0.82393,0.62262,0.72743,0.50183,1.21651,0.84903,1.12695,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
36,7565.96,1.18657,1.04757,1.30623,0.81481,0.63406,0.72927,0.50569,1.21222,0.84793,1.12505,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845
37,7764.87,1.17955,1.04671,1.30753,0.79774,0.64686,0.73344,0.50887,1.20741,0.84168,1.12135,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
38,7963.71,1.16973,1.04027,1.30587,0.81001,0.63784,0.73395,0.51061,1.20475,0.84171,1.12044,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779
39,8161.96,1.17422,1.0448,1.30635,0.79636,0.64313,0.73292,0.50855,1.20384,0.84192,1.11959,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
40,8359.72,1.1572,1.02362,1.29589,0.81246,0.6353,0.73223,0.51043,1.2036,0.84257,1.11899,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
41,8557.8,1.16088,1.02002,1.29428,0.80282,0.6467,0.73304,0.51036,1.20436,0.83928,1.11813,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
42,8755.96,1.16321,1.02633,1.29098,0.81873,0.63877,0.7336,0.509,1.20278,0.83663,1.11707,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647
43,8954.22,1.15169,1.00712,1.28309,0.83311,0.63164,0.73366,0.50886,1.20129,0.8362,1.11637,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
44,9152.55,1.15419,1.0172,1.28439,0.8359,0.63198,0.73463,0.51002,1.20023,0.83498,1.11621,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581
45,9351.17,1.1521,1.01026,1.28394,0.82407,0.63488,0.73494,0.51019,1.19722,0.83225,1.11472,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548
46,9549.38,1.14008,0.99295,1.278,0.82,0.63639,0.73444,0.50937,1.197,0.83269,1.11541,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
47,9747.5,1.14174,1.00246,1.27841,0.81491,0.63813,0.73483,0.50992,1.19533,0.83084,1.11484,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482
48,9945.36,1.14392,1.00514,1.28008,0.81678,0.63595,0.73367,0.5102,1.19371,0.83043,1.11373,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449
49,10143.5,1.1335,0.98861,1.26945,0.82208,0.63504,0.7338,0.51065,1.19255,0.82959,1.11264,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
50,10342.3,1.1332,0.99599,1.2814,0.81943,0.6369,0.73504,0.51263,1.19095,0.82893,1.11197,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383
51,10540.9,1.13384,0.99569,1.27166,0.82813,0.63252,0.73503,0.51207,1.18971,0.82807,1.11119,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
52,10739.3,1.11664,0.98,1.26312,0.82777,0.63244,0.73546,0.5131,1.18764,0.82538,1.10994,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
53,10938.1,1.12179,0.97925,1.2666,0.82192,0.63358,0.7365,0.51428,1.18631,0.82437,1.10919,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284
54,11137.2,1.12641,0.98271,1.26775,0.83081,0.63206,0.73503,0.51332,1.18503,0.82353,1.10889,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251
55,11335.4,1.11304,0.95918,1.25789,0.83257,0.63206,0.73526,0.51405,1.18335,0.8231,1.10766,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
56,11533.5,1.12026,0.97842,1.26378,0.83391,0.63286,0.73571,0.51374,1.18138,0.82242,1.1064,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185
57,11731.2,1.1199,0.96744,1.26222,0.82581,0.63256,0.73602,0.5144,1.18145,0.82141,1.10673,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152
58,11930,1.11397,0.96152,1.25981,0.81945,0.63581,0.73607,0.51518,1.18092,0.82051,1.10655,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
59,12128.9,1.11507,0.95603,1.2564,0.79482,0.6477,0.73585,0.51551,1.17929,0.82077,1.10616,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086
60,12327,1.10843,0.95962,1.2577,0.7969,0.6466,0.7353,0.5162,1.17827,0.82119,1.10621,0.024159,0.008053,0.024159,0.008053,0.024159,0.008053,0.024159,0.008053
61,12525.5,1.1029,0.95351,1.25018,0.79576,0.6464,0.73521,0.51608,1.17759,0.82154,1.10575,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
62,12723.8,1.10657,0.94747,1.25567,0.79934,0.64537,0.73511,0.51614,1.17625,0.82075,1.10492,0.023961,0.007987,0.023961,0.007987,0.023961,0.007987,0.023961,0.007987
63,12922.1,1.1068,0.94989,1.2535,0.80458,0.64471,0.7355,0.51619,1.1754,0.82,1.10476,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
64,13120.3,1.1037,0.94773,1.24804,0.80184,0.65069,0.73595,0.51631,1.17475,0.81895,1.10413,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
65,13319.7,1.10233,0.94305,1.24861,0.79928,0.65107,0.73613,0.51658,1.17392,0.81897,1.10374,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
66,13518.7,1.09205,0.93561,1.24487,0.79648,0.65254,0.73618,0.51626,1.17399,0.81887,1.10373,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855
67,13717,1.09695,0.92641,1.24013,0.79924,0.65181,0.73665,0.51617,1.17346,0.8176,1.10352,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
68,13915.4,1.09371,0.92479,1.24009,0.79597,0.65333,0.73663,0.51675,1.17287,0.81765,1.10304,0.023367,0.007789,0.023367,0.007789,0.023367,0.007789,0.023367,0.007789
69,14114.7,1.08894,0.92991,1.23656,0.79553,0.65365,0.7364,0.51702,1.17277,0.81747,1.10311,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
70,14313.8,1.0815,0.9194,1.23915,0.78896,0.66126,0.73685,0.5175,1.17245,0.8169,1.10266,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
71,14512.1,1.07647,0.91635,1.23432,0.81015,0.6476,0.73686,0.5188,1.17172,0.81821,1.10194,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
72,14710.5,1.07699,0.91845,1.2339,0.80319,0.64995,0.73632,0.51827,1.17121,0.81679,1.10187,0.022971,0.007657,0.022971,0.007657,0.022971,0.007657,0.022971,0.007657
73,14908.4,1.07591,0.91331,1.22882,0.78893,0.66043,0.73802,0.5186,1.17032,0.81647,1.10146,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
74,15106.3,1.06847,0.91295,1.2291,0.80837,0.64629,0.73874,0.51923,1.16935,0.8158,1.1011,0.022773,0.007591,0.022773,0.007591,0.022773,0.007591,0.022773,0.007591
75,15304.8,1.0753,0.90982,1.23365,0.80951,0.64587,0.73871,0.51893,1.16978,0.81614,1.10115,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558
76,15503,1.06914,0.90318,1.22489,0.80605,0.65162,0.73938,0.51879,1.1698,0.81545,1.10119,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
77,15701.4,1.07561,0.90738,1.2275,0.79657,0.65588,0.73898,0.5192,1.16986,0.81528,1.10181,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492
78,15899.6,1.06824,0.90055,1.22497,0.79608,0.65591,0.73739,0.52052,1.1686,0.81509,1.10103,0.022377,0.007459,0.022377,0.007459,0.022377,0.007459,0.022377,0.007459
79,16098.3,1.07186,0.90377,1.22437,0.80652,0.6536,0.73898,0.52071,1.16894,0.81443,1.10138,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
80,16296.9,1.06737,0.89499,1.22372,0.81954,0.645,0.73742,0.51963,1.1692,0.81558,1.10181,0.022179,0.007393,0.022179,0.007393,0.022179,0.007393,0.022179,0.007393
81,16495.4,1.05879,0.89024,1.22005,0.81697,0.64832,0.7386,0.51852,1.16847,0.81579,1.10169,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
