               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.059637,             0.02022,            0.014519,             0.66103,              0.6576,             0.70421,             0.34541,            0.045101,            0.014571,           0.0087427,            0.070029,           0.0033301,           0.0033301
                   1,            0.048709,            0.017578,           0.0085439,             0.49801,             0.48442,             0.49245,             0.22776,            0.044981,            0.016184,            0.019645,            0.039963,           0.0065974,           0.0065974
                   2,            0.049742,            0.018598,            0.010144,             0.50816,             0.44626,             0.42324,             0.17169,             0.05389,            0.016572,             0.01582,           0.0098314,           0.0097988,           0.0097988
                   3,            0.051282,             0.01947,            0.011763,             0.50188,             0.45532,              0.4357,             0.18245,            0.048645,            0.017701,            0.017921,            0.009703,            0.009703,            0.009703
                   4,             0.04971,            0.019211,            0.010522,             0.57657,             0.48342,             0.50959,             0.22401,            0.046934,            0.016837,            0.016172,            0.009703,            0.009703,            0.009703
                   5,            0.048087,            0.018983,           0.0097123,             0.59555,             0.47138,             0.53525,              0.2451,            0.046702,            0.017668,            0.015546,            0.009604,            0.009604,            0.009604
                   6,            0.047853,             0.01899,           0.0094567,             0.53853,             0.54478,             0.52515,             0.24333,             0.04615,            0.015498,            0.015722,            0.009505,            0.009505,            0.009505
                   7,            0.046826,            0.018625,            0.009261,             0.64753,             0.55102,             0.59831,             0.27771,            0.046231,            0.016528,            0.011643,            0.009406,            0.009406,            0.009406
                   8,            0.045246,            0.018176,           0.0082891,             0.65963,             0.57447,             0.61158,             0.29785,            0.043901,            0.017159,            0.015288,            0.009307,            0.009307,            0.009307
                   9,            0.045009,            0.018086,           0.0078871,             0.60415,             0.55167,             0.57066,             0.27018,            0.044756,            0.016626,            0.013208,            0.009208,            0.009208,            0.009208
                  10,            0.045009,            0.018233,           0.0078845,             0.64068,             0.54453,             0.61199,             0.28954,            0.044836,             0.01668,            0.012436,            0.009109,            0.009109,            0.009109
                  11,            0.044154,            0.018214,           0.0075718,             0.62737,             0.58391,             0.62291,             0.29802,            0.043974,            0.015993,            0.011451,             0.00901,             0.00901,             0.00901
                  12,            0.043993,            0.018155,           0.0072334,             0.62958,             0.59579,             0.62892,             0.31071,            0.043538,            0.015902,            0.010717,            0.008911,            0.008911,            0.008911
                  13,            0.043788,            0.017975,           0.0070616,             0.65343,             0.57317,             0.62541,             0.29683,            0.043541,            0.015973,            0.010998,            0.008812,            0.008812,            0.008812
                  14,              0.0435,            0.017806,           0.0067421,             0.63659,             0.62954,             0.64918,             0.31975,            0.043351,            0.015318,           0.0082031,            0.008713,            0.008713,            0.008713
                  15,            0.043408,            0.017895,            0.006379,             0.63394,             0.59761,             0.64617,             0.31595,             0.04261,            0.015906,           0.0085382,            0.008614,            0.008614,            0.008614
                  16,            0.043061,            0.017853,           0.0062466,             0.68639,             0.60915,              0.6576,             0.32883,            0.041576,            0.015879,           0.0084891,            0.008515,            0.008515,            0.008515
                  17,            0.042801,            0.017682,           0.0067502,             0.67244,             0.61796,             0.67075,             0.32922,            0.041936,            0.015907,           0.0087164,            0.008416,            0.008416,            0.008416
                  18,            0.042204,            0.017634,           0.0061012,              0.6956,             0.60029,             0.67383,             0.33956,            0.040919,            0.015338,            0.008779,            0.008317,            0.008317,            0.008317
                  19,             0.04224,            0.017793,           0.0057504,             0.66909,             0.66497,             0.68554,             0.34574,            0.041187,            0.015428,           0.0072081,            0.008218,            0.008218,            0.008218
                  20,            0.042591,            0.017626,            0.006003,             0.70129,             0.66464,             0.70866,             0.36681,            0.041083,            0.015496,           0.0053558,            0.008119,            0.008119,            0.008119
                  21,            0.041923,            0.017656,           0.0060426,             0.69264,             0.63366,             0.67182,             0.34323,            0.041556,            0.015432,           0.0086602,             0.00802,             0.00802,             0.00802
                  22,            0.041675,             0.01754,           0.0058916,              0.7162,             0.61123,             0.69488,             0.35674,             0.04164,            0.015707,           0.0064133,            0.007921,            0.007921,            0.007921
                  23,             0.04161,            0.017358,           0.0050138,             0.71352,             0.62651,             0.69065,             0.34735,             0.04098,            0.015414,            0.011734,            0.007822,            0.007822,            0.007822
                  24,            0.041582,            0.017338,            0.005584,             0.75216,              0.6495,             0.70931,             0.36679,            0.040525,             0.01538,           0.0059201,            0.007723,            0.007723,            0.007723
                  25,            0.041779,            0.017309,            0.005862,             0.67193,             0.67408,             0.70323,             0.36581,            0.041126,            0.015084,           0.0063808,            0.007624,            0.007624,            0.007624
                  26,            0.041106,            0.017354,           0.0052704,             0.72855,             0.63441,             0.70332,             0.36413,            0.040319,            0.015293,           0.0061761,            0.007525,            0.007525,            0.007525
                  27,            0.041649,            0.017341,           0.0051426,             0.70573,              0.6721,             0.71304,             0.37709,            0.040208,            0.014835,           0.0065365,            0.007426,            0.007426,            0.007426
                  28,            0.041066,            0.017022,            0.004959,             0.71944,             0.66345,              0.7135,             0.37162,            0.039689,            0.014975,           0.0061307,            0.007327,            0.007327,            0.007327
                  29,            0.041048,            0.017191,           0.0050971,             0.75783,             0.65759,             0.73866,             0.38564,            0.039021,            0.015207,           0.0051354,            0.007228,            0.007228,            0.007228
                  30,             0.04085,            0.017153,           0.0048174,             0.72091,             0.67781,             0.73284,             0.38642,            0.039006,            0.014875,           0.0061894,            0.007129,            0.007129,            0.007129
                  31,            0.040075,            0.016976,            0.005052,             0.74938,             0.67918,             0.73545,             0.38721,            0.039169,            0.014768,           0.0056552,             0.00703,             0.00703,             0.00703
                  32,            0.040712,            0.017085,            0.004901,             0.75603,             0.68258,             0.73854,             0.38983,            0.039298,            0.015174,           0.0052936,            0.006931,            0.006931,            0.006931
                  33,            0.040393,             0.01708,           0.0050363,             0.72016,             0.70889,             0.75242,             0.39983,            0.038645,            0.014795,           0.0051641,            0.006832,            0.006832,            0.006832
                  34,            0.040178,            0.016914,            0.004384,             0.72772,             0.69416,             0.73472,             0.38355,            0.038938,            0.014957,           0.0046934,            0.006733,            0.006733,            0.006733
                  35,            0.040147,            0.017046,           0.0041837,              0.7295,             0.69779,             0.73925,             0.39524,            0.039069,            0.014776,            0.005701,            0.006634,            0.006634,            0.006634
                  36,             0.03947,            0.016964,             0.00461,             0.73586,             0.69682,             0.75103,             0.40075,            0.038411,             0.01472,           0.0046753,            0.006535,            0.006535,            0.006535
                  37,            0.040523,            0.017113,           0.0046018,             0.74046,             0.67401,             0.74532,             0.39947,            0.038654,            0.014599,           0.0045837,            0.006436,            0.006436,            0.006436
                  38,            0.039352,            0.016757,           0.0043079,             0.72568,             0.68265,             0.75701,             0.40395,            0.039074,              0.0146,           0.0036193,            0.006337,            0.006337,            0.006337
                  39,            0.039647,            0.016952,           0.0043781,             0.73945,             0.69833,             0.75635,             0.39812,            0.038905,            0.014613,           0.0035931,            0.006238,            0.006238,            0.006238
                  40,            0.039335,             0.01671,           0.0040545,             0.74435,             0.68871,             0.75629,             0.40126,            0.038829,            0.014673,            0.004181,            0.006139,            0.006139,            0.006139
