               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.046903,            0.017279,           0.0018655,             0.74685,             0.64185,             0.70637,             0.43237,            0.043142,            0.024862,           0.0029529,            0.008845,            0.008845,            0.008845
                  37,            0.046316,            0.017167,           0.0019023,             0.75593,              0.6466,             0.71602,             0.43993,            0.042914,            0.024767,            0.002765,            0.008812,            0.008812,            0.008812
                  38,            0.046354,            0.017341,           0.0016803,              0.7625,              0.6277,             0.71015,             0.44269,            0.042942,            0.024741,           0.0027951,            0.008779,            0.008779,            0.008779
                  39,            0.046648,            0.017349,           0.0018335,             0.75772,             0.63086,             0.71085,             0.44254,            0.042772,            0.024747,           0.0024029,            0.008746,            0.008746,            0.008746
                  40,            0.046518,            0.017212,           0.0018477,             0.76763,             0.63132,             0.71146,             0.44389,            0.042676,            0.024723,           0.0022166,            0.008713,            0.008713,            0.008713
                  41,            0.046355,            0.017067,           0.0017723,             0.77433,             0.62218,              0.7115,             0.44363,            0.042673,            0.024722,           0.0021683,             0.00868,             0.00868,             0.00868
                  42,            0.046186,            0.017003,           0.0016098,             0.78028,             0.61778,             0.71268,              0.4463,            0.042611,            0.024673,           0.0020916,            0.008647,            0.008647,            0.008647
                  43,             0.04644,            0.017155,           0.0018395,              0.7802,             0.61304,              0.7153,              0.4465,            0.042577,            0.024657,           0.0019224,            0.008614,            0.008614,            0.008614
                  44,            0.046289,            0.017087,           0.0018069,              0.7831,             0.61843,              0.7159,             0.44736,            0.042507,            0.024645,           0.0020197,            0.008581,            0.008581,            0.008581
                  45,            0.046282,            0.016939,           0.0016498,             0.78322,             0.61861,             0.71692,              0.4484,            0.042398,            0.024669,            0.002041,            0.008548,            0.008548,            0.008548
                  46,            0.046355,            0.017013,           0.0018106,             0.78022,             0.62269,             0.71755,             0.44762,            0.042322,            0.024675,           0.0020862,            0.008515,            0.008515,            0.008515
                  47,            0.046055,            0.017079,           0.0016638,             0.78053,             0.61956,             0.71856,             0.44848,            0.042196,             0.02466,           0.0021007,            0.008482,            0.008482,            0.008482
